Address,Total
0x7c8d1c186506df224a4e781b9f4ac6b9f5a40dea,889.480189425
0x46a0b4fa58141aba23185e79f7047a7dfd0ff100,540.158094847
0xf2e563f6fbf25cf23dbe57d25287e10339ad3b6f,513.105885274
0x78e96be52e38b3fc3445a2ed34a6e586ffab9631,441.577502825
0x26da854f28f2181858ce4aad1cdb0c2027b6465c,400.613698130
0x20730820ab819e69e8e632574382f6d4d9fee50f,346.368147527
0x79792c512d1029a640c86f20c9d30ef3643d4d38,273.172211024
0xd2d58f785ea44dec2d3443cae65fb2ad66a2f67f,264.393405214
0x5edcf547ece0ea1765d6c02e9e5bae53b52e09d4,261.587913600
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,255.094419924
0xd4ad5d62dce1a8bf661777a5c1df79bd12ac8f1d,183.358924897
0xadeeb9d09b8bcee10943198fb6f6a4229bab3675,166.218717017
0x1f84ca2c0a406b32e083e4e41032fd148364df48,146.419720813
0xc550c0d95fc2a8c56c093de17003dc9f741a6b00,133.592541058
0x3caba50e426de2003f937ac961bd6834b206fb1c,132.756538844
0xbc79855178842fdba0c353494895deef509e26bb,129.662578906
0x92e74e50edce4573d181c03ca889f72640cd3a94,120.547070097
0x6749f1a7c7f0f3a4d44abfc881e4796b59df2f06,83.074487443
0xce824663bccb32e2dad1a8f2a26b698290417b34,77.465843287
0x2b290f41af8e0e6db68c0d8325394d8935d1d990,75.829454160
0xeb340415d19e506de42fb7e2e1ca09965ddbd6ee,72.117511166
0x652740d58e182a6ae5fd5217063094a98d6ab8d1,70.675501359
0x3bcf3db69897125aa61496fc8a8b55a5e3f245d5,69.463554934
0xc218d847a18e521ae08f49f7c43882b6d1963c60,69.337203167
0xf32fc1113f4769f59984d615e91a8e94548f2790,63.663534402
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,62.264154695
0xb6c17794a6ce02a87df4b16b1008083a73c0d3f0,61.939361837
0xc0ffee22f360792a89db39f159f103daafe9c57d,60.583658403
0x8343f493557dcba5fe9e08e3ec115b6af2de54b1,60.557501822
0x6371024c5ffdaefef716adce3cac52ac6181cd9d,58.175479521
0x2482dc04ac628a4b2700c071bfee557fd86c91ea,54.128401801
0x1dd01835e0eb26abe597e2e69ffac1a6cd00283a,53.828540965
0x41a60b69628a450950903c3800626c0285607705,51.370153379
0xa231a5ae629a0f15e1c1eb3ffbf813589e206926,50.869661023
0xd35d8f5df82f61f2cb84b5871350d2a97b275391,49.476745596
0xc3597578d6c3929cfb1aa55feb72f7b530a4cb5b,49.251353732
0xd37f7b32a541d9e423f759dff1dd63181651bd04,46.130924266
0x49bb4b96be42e5c65d5dadd90134a07583fadab1,35.517498539
