Address,Total
0x39d787fdf7384597c7208644dbb6fda1cca4ebdf,3061.969406757
0xbc79855178842fdba0c353494895deef509e26bb,2445.834795616
0xb1adceddb2941033a090dd166a462fe1c2029484,2212.567016592
0xbda6ba3ad624582495c55451a1840e563fc16389,1999.052783566
0x338f3ec014d7edacb98506881d1e18dc00980fdc,1818.008364510
0xfe13988736d95d052c2e45e5b4e1ef2e2750b7f4,1427.752593179
0x28d804bf2212e220bc2b7b6252993db8286df07f,1403.001993549
0x39c09fdc4e5c5ab72f6319ddbc2cae40e67b2a60,1038.476752914
0xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,784.812067117
0x2de640a18fe3480aa802aca91f70177ada103391,676.336019409
0x549c0421c69be943a2a60e76b19b4a801682cbd3,628.302132972
0x86b0be38a41ee669fb2d8cb5854a3c89a0a2b8fe,613.095951988
0x2a2526422aa8239826746b41f13fcc2e59015c86,600.336685337
0x25431341a5800759268a6ac1d3cd91c029d7d9ca,562.073660277
0x635b230c3fdf6a466bb6dc3b9b51a8ceb0659b67,538.474464663
0x1f032a27b369299c73b331c9fc1e80978db45b15,453.907627915
0x1d266e410a842f5581f2ca80ad3cb6322fe0d296,438.997017068
0xf7e3c42ad619f6c267194e6892f6243fe908eb75,416.932652343
0xce9450f366bb61874f90484d05f30cc44c1d72dd,404.842182721
0xf0b145a02139f91f998d093f2a12b9ecf2ef5405,395.942259515
0x194f737b2b8a63f9fc0def75e0bc7f835f21af6d,379.974337942
0x1d2c4cd9bee9dfe088430b95d274e765151c32db,377.842711198
0x7e6601a0cb2b5ae129c09661846a053ea07223fb,369.577469800
0xa6fddb5c1bbee3c7189ed8996122b9ffba5a86ec,351.047973101
0x22fa8cc33a42320385cbd3690ed60a021891cb32,271.799007229
0x56ceac298f8a2d089153331c6686fc5702e5569b,271.276349369
0x7c8d1c186506df224a4e781b9f4ac6b9f5a40dea,234.147777875
0x0154d25120ed20a516fe43991702e7463c5a6f6e,202.813739394
0xd4ad5d62dce1a8bf661777a5c1df79bd12ac8f1d,199.947227556
0xccd72bea12f3927063be3d8798a4b74082713cb5,197.793636016
0x46499275b5c4d67dfa46b92d89aada3158ea392e,191.343910443
0x038940914c3d3c945a554318c96173dfb0ecf3bd,189.141545653
0x69ecc396747d292b26ddf6e00b733ee69c2eb778,187.922243128
0x57ca561798413a20508b6bc997481e784f3e6e5f,183.926498283
0x4c5510d9e13089cbd198e44ac0877fb3bd30a8ac,164.489149286
0x74c3b2d22ed5990b9ab1f77bd3054d4fd4afcf96,164.280066160
0x0b1fdb90501286ebe6087b6660c3a48db9898fad,164.264532408
0x1512c7c4a4266dc9a56b1f21c8cb19e13410e684,147.197018598
0x6b7ac46d09d2adf4cebe2995ebf9d97e13e9e257,138.702994061
0x55e1490a1878d0b61811726e2cb96560022e764c,133.939457458
0x13f2ca08112fd5b5df3c78c5e583d95d69900235,131.195979915
0xa42e82c8cb31068b240772ec69685ffc59b7fd11,128.833096481
0xf9172446f3b6f0d027ef8f0a7fafa117ff5439c2,123.352246459
0x4e65175f05b4140a0747c29cce997cd4bb7190d4,123.314963796
0x1c051112075feaee33bcdbe0984c2bb0db53cf47,120.803055738
0x979211193cddb32b5f50928b83b6a6a4c40037bc,120.162005325
0x3b29c6e356f9445b693abb5df42fbc932062e0fb,118.209319065
0x42869a8455671c419bdcd1905f4966e6d305f216,118.122185485
0x88b7a44cecd526cd2d424b0a4cc2bbb26341dd8f,117.379510769
0x66f10a69b84c795bcf53861a6df831d8bedfb730,117.043822396
0x0d82ccaacdaf8da2cca723f7203be3ac57b6c3e7,111.390797835
0xba55bdbf959df826da6c35487eb15fad2164662d,109.155822588
0xe2e4f2a725e42d0f0ef6291f46c430f963482001,108.399088438
0x34d8619e909aa917cd176b733a5bfbafcdc0483e,103.582074359
0x52def6c112bffc66fc8c8258539d4d8c30c5000c,97.528029678
0x468e334c8a768d3577bb4ed513e238271a754c1f,94.792590796
0xebf919b0dafb9ea4bf324108a142c64a69052d8f,93.989447565
0xadeeb9d09b8bcee10943198fb6f6a4229bab3675,93.909850937
0xa8d092b8b1a07ef7b8b409ced7cfb13c0e46e439,91.464411863
0x13f2aeb5066feceee535ed7f62863a7ef741ec1c,89.317348671
0xae653682dee958914a82c9628de794dcbbee3d04,88.901902318
0x7f977c4cff92c055173b865bcbd8158161ab95a9,87.118819817
0x22acb809d08ae7c79f0b84513efce0577acfe514,82.147033464
0x6ef3f0ff397c3de367c6ca2cc3e6b6955e7993a5,78.295098841
0x57fcf904efc785e098676922d406e64a4e0e7ea2,77.855141259
