Address,Total
0x39d787fdf7384597c7208644dbb6fda1cca4ebdf,1520.427540599
0xbc79855178842fdba0c353494895deef509e26bb,1316.028567710
0xfe13988736d95d052c2e45e5b4e1ef2e2750b7f4,1201.612316657
0x2de640a18fe3480aa802aca91f70177ada103391,654.754104557
0x69ecc396747d292b26ddf6e00b733ee69c2eb778,449.876832897
0xd4ad5d62dce1a8bf661777a5c1df79bd12ac8f1d,402.978885264
0xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,363.248958266
0xf0b145a02139f91f998d093f2a12b9ecf2ef5405,350.706957925
0x7c8d1c186506df224a4e781b9f4ac6b9f5a40dea,341.579527552
0x28d804bf2212e220bc2b7b6252993db8286df07f,298.479341791
0x57ca561798413a20508b6bc997481e784f3e6e5f,208.873957048
0x0b1fdb90501286ebe6087b6660c3a48db9898fad,203.743743682
0x3bbec29ab82db1f0be3f67261cc902c4e35ab70d,152.395946283
0x30887fc55cbfad3487cb55bfe1779f6d2ba1c118,131.933172086
0x635b230c3fdf6a466bb6dc3b9b51a8ceb0659b67,121.342727514
0x549c0421c69be943a2a60e76b19b4a801682cbd3,117.613664119
0x46499275b5c4d67dfa46b92d89aada3158ea392e,102.368460250
0x7f977c4cff92c055173b865bcbd8158161ab95a9,98.486474546
0x39c09fdc4e5c5ab72f6319ddbc2cae40e67b2a60,95.997792255
0x42ee06b7b2075834a7d7eb22ffaca3bd55e677e7,94.376285886
0xadeeb9d09b8bcee10943198fb6f6a4229bab3675,92.494327460
0x9542d56b89830c60082de0c976f2e72a633e24fd,90.128722863
0x25431341a5800759268a6ac1d3cd91c029d7d9ca,88.931920280
0x2a2526422aa8239826746b41f13fcc2e59015c86,87.213217533
0x1c051112075feaee33bcdbe0984c2bb0db53cf47,81.225076371
0x0f6534b713c9c74f24cea2b7eecb61d99bdb2a92,77.839318429
0x545fd1d8546a692a05794311b34d721d87cf4cb4,75.507919591
0xf627e5f4bad95a956468d8bb6ee20b119f992e96,73.701093122
0x194f737b2b8a63f9fc0def75e0bc7f835f21af6d,72.661650406
0x7e6601a0cb2b5ae129c09661846a053ea07223fb,70.485788885
0xd35d8f5df82f61f2cb84b5871350d2a97b275391,70.265870549
0xbb2d41acfea24a3a2ad4a6f95c3ace1cc98c6ed6,69.543548032
0x55e1490a1878d0b61811726e2cb96560022e764c,65.541565824
0x9fd73e943a1e80d4cb33aa0cc81d8da148824d44,61.240926994
0xfb9357f2fec6f437bf7757d5fcb7fb1296816715,61.153221929
0x468e334c8a768d3577bb4ed513e238271a754c1f,60.098876034
0x6ef3f0ff397c3de367c6ca2cc3e6b6955e7993a5,58.296956854
0x024bcbcaad82e67f721799e259ca60bc7d363419,54.494890267
0x57fcf904efc785e098676922d406e64a4e0e7ea2,53.717991603
0x1d266e410a842f5581f2ca80ad3cb6322fe0d296,53.651339125
0xba55bdbf959df826da6c35487eb15fad2164662d,53.407471851
0xe7a6d81a4b543c1bf2bd10ceb74a72689dc2e4b1,53.005637497
0xecb6a3e0e99700b32bb03ba14727d99fe8e538cf,52.059425996
0x3caba50e426de2003f937ac961bd6834b206fb1c,49.795805875
0xde6c0faaeab798ce707de7330d3390b6803efc5a,47.024516074
0xe57e2c5d7b0a4f6e3419e586dbc89195943d6c78,46.779435255
0x0154d25120ed20a516fe43991702e7463c5a6f6e,46.637609749
0x1f84ca2c0a406b32e083e4e41032fd148364df48,45.065867207
0x634211a06e8a63b930f284d1c8456651772e70b7,43.763669704
0x42869a8455671c419bdcd1905f4966e6d305f216,41.845649978
0x25ad9f72a7879046e17232431b3e2362584b6c82,40.884629849
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,40.773190503
0x4c46f9a3da4f7f2911e29dae334ebcf09101a669,39.865533859
0x30040b54554928929e94ed3f0b9282f666e950ed,39.631908543
0x038940914c3d3c945a554318c96173dfb0ecf3bd,37.408740747
0x1333c53a798547126ca04647ba925485a6fa7aad,35.850529565
0xa4b8339d2162125b33a667b0d40ac5dec27e924b,35.776586333
0x21c30d17d9e61ce139dfd2a3d167c5752246b938,34.938011882
0x028b2b9adca1bd1263086b0b221713a684968817,34.663315360
0x75c4f5c54418b34f288c91de878e69729f391f74,34.470137408
0x22acb809d08ae7c79f0b84513efce0577acfe514,34.358205062
0x2b7b260db29b86ad62aee61aa1dbb0f6addd8bfb,30.034640938
0xe3c9e09e49f75d7ec947484abf74579ea5aa0e18,30.034615175
0x48f82846f9f9fec614516760de50c94a345f4e36,29.990665942
0x6749f1a7c7f0f3a4d44abfc881e4796b59df2f06,29.320947384
0x4a1249e419d09f64130cbb426f37facab261b9e2,28.982281048
0xa8d092b8b1a07ef7b8b409ced7cfb13c0e46e439,27.245427514
0xd0554b8dc33b4be4bee98718a7b5f8009a67a6b7,26.780024829
0x254285f14dea6ee112681b9d2f16e59b1a5d33f6,25.016903375
0xce9450f366bb61874f90484d05f30cc44c1d72dd,24.866837634
0xe51231daa306acf16eac34a864564ca36b262a1f,24.517397328
0x39d52da6beec991f075eebe577474fd105c5caec,23.651659838
0x796308116a54086e9cef325737f37189f2a79cbd,23.438962004
0x87e6888935180a9b27a9b48b75c9b779bfec1f76,21.672446641
0x79792c512d1029a640c86f20c9d30ef3643d4d38,21.289162719
