Address,Total
0xbc79855178842fdba0c353494895deef509e26bb,2919.834524755
0x7c8d1c186506df224a4e781b9f4ac6b9f5a40dea,866.067285394
0xf2e563f6fbf25cf23dbe57d25287e10339ad3b6f,520.478406300
0x26da854f28f2181858ce4aad1cdb0c2027b6465c,441.596278634
0x78e96be52e38b3fc3445a2ed34a6e586ffab9631,392.097711326
0x20730820ab819e69e8e632574382f6d4d9fee50f,322.123189676
0xd2d58f785ea44dec2d3443cae65fb2ad66a2f67f,264.108110224
0x79792c512d1029a640c86f20c9d30ef3643d4d38,225.429211535
0xd4ad5d62dce1a8bf661777a5c1df79bd12ac8f1d,219.532016665
0x46a0b4fa58141aba23185e79f7047a7dfd0ff100,206.008700954
0x5edcf547ece0ea1765d6c02e9e5bae53b52e09d4,188.148131559
0x1f84ca2c0a406b32e083e4e41032fd148364df48,177.773972163
0xd35d8f5df82f61f2cb84b5871350d2a97b275391,155.553508043
0x2b290f41af8e0e6db68c0d8325394d8935d1d990,144.727605345
0x92e74e50edce4573d181c03ca889f72640cd3a94,134.598292420
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,113.927350256
0x3bcf3db69897125aa61496fc8a8b55a5e3f245d5,109.009307729
0x30040b54554928929e94ed3f0b9282f666e950ed,103.292374635
0xc550c0d95fc2a8c56c093de17003dc9f741a6b00,78.669017367
0xadeeb9d09b8bcee10943198fb6f6a4229bab3675,70.854945121
0x652740d58e182a6ae5fd5217063094a98d6ab8d1,68.253186909
0x8f4d6ce7febfeccea7144769549a698cc8dbabad,66.707188214
0x6371024c5ffdaefef716adce3cac52ac6181cd9d,65.120297708
0x3caba50e426de2003f937ac961bd6834b206fb1c,55.129052611
0xd37f7b32a541d9e423f759dff1dd63181651bd04,51.622790640
0x6a43e60d5520912d20f19eb29a011e82a6ee50ae,49.944915652
0xc218d847a18e521ae08f49f7c43882b6d1963c60,49.558730836
0xa231a5ae629a0f15e1c1eb3ffbf813589e206926,46.309052500
0x6749f1a7c7f0f3a4d44abfc881e4796b59df2f06,45.688897548
0xb8ec7c6483444572a486e22dd8f875bb26e14472,42.799804823
0x8cd9f9c08c6a3f891bc570f1d6a3dc91c1f62bb0,42.485535060
0x028b2b9adca1bd1263086b0b221713a684968817,42.398199340
0xce824663bccb32e2dad1a8f2a26b698290417b34,38.333278414
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,35.265203651
0xf32fc1113f4769f59984d615e91a8e94548f2790,34.487684687
0xeb340415d19e506de42fb7e2e1ca09965ddbd6ee,32.590023997
0x41a60b69628a450950903c3800626c0285607705,32.495115472
0x2482dc04ac628a4b2700c071bfee557fd86c91ea,31.875604586
0x64d6539c03352d0faeab9c2a1c3120dba859836c,30.419120254
0xc3597578d6c3929cfb1aa55feb72f7b530a4cb5b,29.003566052
0x17307be3589a680452543dde06d42a07ee3fa080,28.976409053
0x4e65175f05b4140a0747c29cce997cd4bb7190d4,28.203795308
0x38ee5f5a39c01cb43473992c12936ba1219711ab,27.658898946
0x860001218d2476481629b7c64960bd6edbedd848,25.886940915
0x91f93bc5053b4e1b1c2f56d6f4442c306ea65a94,25.630633073
0x21c30d17d9e61ce139dfd2a3d167c5752246b938,24.798230785
0x4026b3da349c2952255ca9db4f055ea57f4e037c,24.539854294
0xbd58b30bff344ec61f61f54bbd97e16210ccb171,24.305422020
0x1638e6e26f49c3b9ee48c03daf1097968c837851,22.367963669
0xa4262084ab298c6a6bf203ac6ffde1bb854722d5,22.195517848
0xc0ffee22f360792a89db39f159f103daafe9c57d,22.120875332
0x651bbd829a7cbd32f35dfc099cbde1e04789393c,21.155024322
0x48f82846f9f9fec614516760de50c94a345f4e36,20.828088555
0xe867cc15f6d6839d1e479041fda51ffc6db764e6,18.552566644
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,18.524169521
0x43232604615a225aded5713e41161d82f6164672,18.156505254
0xfa8f11e4ad7bc8c7f210bc646d9a23bad4603f49,18.144365823
0x09528b6c6fc792eff0c70563c9b4c4c6e38da61d,17.077339233
0x0154d25120ed20a516fe43991702e7463c5a6f6e,13.674540079
