Address,Total
0xbc79855178842fdba0c353494895deef509e26bb,4310.133234561
0x7c8d1c186506df224a4e781b9f4ac6b9f5a40dea,808.670578793
0x26da854f28f2181858ce4aad1cdb0c2027b6465c,483.668817594
0x46a0b4fa58141aba23185e79f7047a7dfd0ff100,346.472004486
0x20730820ab819e69e8e632574382f6d4d9fee50f,227.911213744
0xd2d58f785ea44dec2d3443cae65fb2ad66a2f67f,219.565092835
0xf2e563f6fbf25cf23dbe57d25287e10339ad3b6f,217.937188911
0x1f84ca2c0a406b32e083e4e41032fd148364df48,215.102914745
0x5edcf547ece0ea1765d6c02e9e5bae53b52e09d4,205.949281148
0xd4ad5d62dce1a8bf661777a5c1df79bd12ac8f1d,196.140049551
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,191.981040317
0x79792c512d1029a640c86f20c9d30ef3643d4d38,173.136682487
0x78e96be52e38b3fc3445a2ed34a6e586ffab9631,166.449693180
0x3bbec29ab82db1f0be3f67261cc902c4e35ab70d,156.082361129
0x2b290f41af8e0e6db68c0d8325394d8935d1d990,132.005619248
0x92e74e50edce4573d181c03ca889f72640cd3a94,118.903660155
0xc550c0d95fc2a8c56c093de17003dc9f741a6b00,95.966637252
0x3caba50e426de2003f937ac961bd6834b206fb1c,90.291010378
0xadeeb9d09b8bcee10943198fb6f6a4229bab3675,86.434419082
0xf627e5f4bad95a956468d8bb6ee20b119f992e96,79.782532667
0x6371024c5ffdaefef716adce3cac52ac6181cd9d,74.544334171
0x21c30d17d9e61ce139dfd2a3d167c5752246b938,73.570653512
0xbd58b30bff344ec61f61f54bbd97e16210ccb171,69.814112258
0xd37f7b32a541d9e423f759dff1dd63181651bd04,59.259373673
0x028b2b9adca1bd1263086b0b221713a684968817,54.094591583
0xae653682dee958914a82c9628de794dcbbee3d04,49.418252028
0x91f93bc5053b4e1b1c2f56d6f4442c306ea65a94,46.243152649
0x64d6539c03352d0faeab9c2a1c3120dba859836c,45.631467831
0x30040b54554928929e94ed3f0b9282f666e950ed,44.505975122
0x652740d58e182a6ae5fd5217063094a98d6ab8d1,43.567043825
0x4e65175f05b4140a0747c29cce997cd4bb7190d4,42.310187455
0xce824663bccb32e2dad1a8f2a26b698290417b34,42.136835555
0x6a43e60d5520912d20f19eb29a011e82a6ee50ae,40.539243471
0xe41a2b194f15aaae7500421ecb71e39c5be26bfd,40.234472789
0x6749f1a7c7f0f3a4d44abfc881e4796b59df2f06,39.985364829
0xc218d847a18e521ae08f49f7c43882b6d1963c60,38.236940951
0xf32fc1113f4769f59984d615e91a8e94548f2790,37.575058340
0x09528b6c6fc792eff0c70563c9b4c4c6e38da61d,37.150448429
0x48f82846f9f9fec614516760de50c94a345f4e36,37.074834930
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,33.544343913
0xa9d4547de8a88b25ebd53071d03f821208bdb762,33.374282664
0x41a60b69628a450950903c3800626c0285607705,31.957717474
0x860001218d2476481629b7c64960bd6edbedd848,31.907671331
0xc3597578d6c3929cfb1aa55feb72f7b530a4cb5b,30.979568870
0xd454ed303748bb5a433388f9508433ba5d507030,30.287142439
0x2482dc04ac628a4b2700c071bfee557fd86c91ea,26.603338315
0xd0554b8dc33b4be4bee98718a7b5f8009a67a6b7,26.305798576
0x25125e438b7ae0f9ae8511d83abb0f4574217c7a,25.099879713
0x929b7b0ecc74e86d8edd8b7eca953a098671f7ac,24.814249757
0xa6584b95ea4e9018b1f377dad99448ec478a150f,24.810127313
0xe9ca86b78686a5af0ac39cc3be976c95395b5b06,23.920158070
0x3bcf3db69897125aa61496fc8a8b55a5e3f245d5,23.352032983
0x8cd9f9c08c6a3f891bc570f1d6a3dc91c1f62bb0,21.938989615
0x43232604615a225aded5713e41161d82f6164672,21.805625901
0x39d52da6beec991f075eebe577474fd105c5caec,20.940951332
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,20.230368898
0xa5ac63ffcacd62f44b91ea1607383f92b54f2ee7,18.867235774
0x6eec9242c7e1a678c4575984fb3a87426caa1cf2,18.761492679
0x30887fc55cbfad3487cb55bfe1779f6d2ba1c118,18.667042188
0x0154d25120ed20a516fe43991702e7463c5a6f6e,18.034681451
0xc0ffee22f360792a89db39f159f103daafe9c57d,17.555452503
0xd610086899bbe55f08f4590b2197aed9966e8c73,17.220752436
0x9035b69186fca1a9a43d6d5aab62822ed666e6e0,16.815730452
0xbf370b6e9d97d928497c2f2d72fd74f4d9ca5825,14.852238597
0xd35d8f5df82f61f2cb84b5871350d2a97b275391,14.689210209
0xc5755e2fbf77573b6c4a154b7d8743a1a19af45c,14.659546098
0x7da957bfa534a593618ce9a16216a1ea57b8e941,14.627546910
0x40d2ce4c14f04bd91c59c6a1cd6e28f2a0fc81f8,14.578097915
